num,date,time,track,beam,start_dt,stop_dt,central_dt,central_lat,central_lon,fname,seg_start,seg_stop,width
0,20200622,00:49.9,1340,3,78044449.82,78044449.98,78044449.9,72.3,-127.297,ATL03_20200622065847_13400705_003_01.h5,50,61,110
1,20200622,00:50.1,1340,3,78044450.02,78044450.18,78044450.1,72.287,-127.303,ATL03_20200622065847_13400705_003_01.h5,53,61,80
2,20200622,00:50.2,1340,3,78044450.09,78044450.24,78044450.17,72.283,-127.305,ATL03_20200622065847_13400705_003_01.h5,48,53,50
3,20200622,00:50.2,1340,3,78044450.1,78044450.26,78044450.18,72.282,-127.305,ATL03_20200622065847_13400705_003_01.h5,49,56,70
4,20200622,00:52.2,1340,1,78044452.15,78044452.31,78044452.23,72.147,-127.172,ATL03_20200622065847_13400705_003_01.h5,48,63,150
5,20200623,23:34.4,1353,1,78117814.31,78117814.47,78117814.39,83.584,-61.477,ATL03_20200623031924_13530704_003_01,42,54,120
6,20200623,23:37.9,1353,1,78117817.86,78117818.02,78117817.94,83.37,-62.106,ATL03_20200623031924_13530704_003_01,43,55,120
7,20200624,29:15.9,1376,1,78247755.77,78247755.94,78247755.86,84.418,-103.395,ATL03_20200624152803_13760704_003_01.h5,63,67,40
8,20200624,32:31.7,1369,3,78208351.66,78208351.82,78208351.74,82.431,-82.811,ATL03_20200624042802_13690704_003_01.h5,46,70,240
9,20200624,54:39.2,1375,3,78242079.08,78242079.24,78242079.16,83.28,-75.459,ATL03_20200624135346_13750704_003_01.h5,49,56,70
10,20200624,54:55.4,1375,1,78242095.35,78242095.52,78242095.43,84.236,-79.082,ATL03_20200624135346_13750704_003_01.h5,45,62,170
11,20200624,58:10.7,1368,1,78202690.59,78202690.75,78202690.67,82.638,-58.267,ATL03_20200624025344_13680704_003_01.h5,47,62,150
12,20200625,02:56.2,4,1,78332576.17,78332576.33,78332576.25,81.995,-90.898,ATL03_20200625150224_00040804_003_01.h5,57,71,140
13,20200625,03:12.7,4,1,78332592.66,78332592.83,78332592.74,83.002,-93.14,ATL03_20200625150224_00040804_003_01.h5,56,64,80
14,20200625,41:45.0,1385,1,78298904.95,78298905.11,78298905.03,80.24,-103.963,ATL03_20200625053640_13850704_003_01.h5,53,61,80
15,20200625,41:45.2,1385,1,78298905.09,78298905.25,78298905.17,80.231,-103.975,ATL03_20200625053640_13850704_003_01.h5,59,65,60
16,20200626,03:16.5,18,3,78411796.39,78411796.55,78411796.47,83.037,-63.406,ATL03_20200626130227_00180804_003_01.h5,53,64,110
17,20200626,03:17.5,18,1,78411797.43,78411797.59,78411797.51,83.081,-64.023,ATL03_20200626130227_00180804_003_01.h5,60,69,90
18,20200626,03:17.8,18,1,78411797.71,78411797.87,78411797.79,83.098,-64.068,ATL03_20200626130227_00180804_003_01.h5,55,66,110
19,20200626,03:18.2,18,1,78411798.07,78411798.24,78411798.15,83.12,-64.126,ATL03_20200626130227_00180804_003_01.h5,61,70,90
20,20200626,03:18.4,18,1,78411798.29,78411798.45,78411798.37,83.133,-64.16,ATL03_20200626130227_00180804_003_01.h5,56,65,90
21,20200626,03:18.5,18,3,78411798.38,78411798.54,78411798.46,83.158,-63.714,ATL03_20200626130227_00180804_003_01.h5,65,74,90
22,20200626,03:22.3,18,1,78411802.25,78411802.42,78411802.34,83.373,-64.819,ATL03_20200626130227_00180804_003_01.h5,63,72,90
23,20200626,03:22.4,18,1,78411802.29,78411802.45,78411802.37,83.375,-64.825,ATL03_20200626130227_00180804_003_01.h5,53,61,80
24,20200626,03:23.3,18,1,78411803.18,78411803.35,78411803.27,83.429,-64.981,ATL03_20200626130227_00180804_003_01.h5,56,61,50
25,20200626,03:24.2,18,1,78411804.16,78411804.33,78411804.24,83.488,-65.154,ATL03_20200626130227_00180804_003_01.h5,65,71,60
26,20200626,03:24.3,18,1,78411804.26,78411804.43,78411804.34,83.494,-65.172,ATL03_20200626130227_00180804_003_01.h5,52,63,110
27,20200626,03:25.0,18,1,78411804.96,78411805.12,78411805.04,83.536,-65.297,ATL03_20200626130227_00180804_003_01.h5,59,69,100
28,20200626,06:17.9,11,1,78372377.83,78372378,78372377.91,84.673,-40.311,ATL03_20200626020225_00110804_003_01.h5,51,61,100
29,20200626,06:19.8,11,1,78372379.68,78372379.85,78372379.76,84.564,-40.788,ATL03_20200626020225_00110804_003_01.h5,61,66,50
30,20200626,06:20.7,11,3,78372380.57,78372380.74,78372380.66,84.531,-41.589,ATL03_20200626020225_00110804_003_01.h5,56,69,130
32,20200626,06:33.9,11,3,78372393.84,78372394,78372393.92,83.739,-44.414,ATL03_20200626020225_00110804_003_01,58,71,130
34,20200626,06:37.3,11,3,78372397.17,78372397.34,78372397.26,83.538,-45.019,ATL03_20200626020225_00110804_003_01.h5,58,71,130
36,20200626,06:38.7,11,3,78372398.66,78372398.83,78372398.74,83.448,-45.276,ATL03_20200626020225_00110804_003_01.h5,57,64,70
37,20200626,06:38.8,11,3,78372398.76,78372398.93,78372398.84,83.442,-45.293,ATL03_20200626020225_00110804_003_01.h5,53,70,170
38,20200626,06:43.0,11,3,78372402.92,78372403.08,78372403,83.19,-45.978,ATL03_20200626020225_00110804_003_01,45,66,210
40,20200626,06:43.4,11,3,78372403.32,78372403.48,78372403.4,83.166,-46.039,ATL03_20200626020225_00110804_003_01.h5,49,65,160
41,20200626,06:43.8,11,1,78372403.72,78372403.89,78372403.8,83.126,-45.632,ATL03_20200626020225_00110804_003_01,50,63,130
42,20200626,11:43.4,20,3,78423103.3,78423103.47,78423103.39,82.556,-109.501,ATL03_20200626161102_00200804_003_01.h5,59,65,60
43,20200626,11:45.7,20,1,78423105.63,78423105.8,78423105.72,82.68,-110.252,ATL03_20200626161102_00200804_003_01.h5,54,63,90
44,20200626,15:38.2,13,3,78383738.09,78383738.26,78383738.18,81.951,-95.961,ATL03_20200626051100_00130804_003_01.h5,55,67,120
45,20200626,15:45.3,13,3,78383745.22,78383745.38,78383745.3,81.512,-96.738,ATL03_20200626051100_00130804_003_01.h5,51,65,140
46,20200626,15:45.4,13,3,78383745.32,78383745.48,78383745.4,81.506,-96.749,ATL03_20200626051100_00130804_003_01.h5,48,60,120
47,20200626,15:56.4,13,3,78383756.36,78383756.52,78383756.44,80.824,-97.812,ATL03_20200626051100_00130804_003_01.h5,56,66,100
48,20200626,15:57.2,13,1,78383757.1,78383757.26,78383757.18,80.767,-97.521,ATL03_20200626051100_00130804_003_01.h5,47,57,100
49,20200626,15:57.7,13,1,78383757.63,78383757.79,78383757.71,80.734,-97.569,ATL03_20200626051100_00130804_003_01.h5,53,67,140
50,20200626,15:57.7,13,2,78383757.62,78383757.78,78383757.7,80.74,-97.747,ATL03_20200626051100_00130804_003_01.h5,52,64,120
51,20200626,15:58.4,13,2,78383758.3,78383758.46,78383758.38,80.698,-97.807,ATL03_20200626051100_00130804_003_01.h5,82,88,60
52,20200626,15:58.5,13,2,78383758.45,78383758.61,78383758.53,80.689,-97.819,ATL03_20200626051100_00130804_003_01.h5,48,59,110
53,20200626,15:59.7,13,1,78383759.65,78383759.81,78383759.73,80.609,-97.748,ATL03_20200626051100_00130804_003_01.h5,58,64,60
54,20200626,16:01.7,13,3,78383761.63,78383761.79,78383761.71,80.497,-98.269,ATL03_20200626051100_00130804_003_01.h5,58,71,130
55,20200627,11:51.6,34,3,78502311.55,78502311.71,78502311.63,82.85,-80.859,ATL03_20200627141105_00340804_003_01.h5,51,61,100
56,20200627,15:21.9,27,1,78462921.8,78462921.97,78462921.89,83.139,-63.519,ATL03_20200627031104_00270804_003_01,50,64,140
57,20200627,15:23.1,27,3,78462923.03,78462923.19,78462923.11,83.08,-64.181,ATL03_20200627031104_00270804_003_01,46,57,110
58,20200627,15:23.9,27,3,78462923.85,78462924.02,78462923.93,83.03,-64.307,ATL03_20200627031104_00270804_003_01,49,67,180
59,20200627,15:24.8,27,3,78462924.67,78462924.84,78462924.76,82.98,-64.431,ATL03_20200627031104_00270804_003_01,62,70,80
60,20200627,38:19.8,33,3,78496699.67,78496699.85,78496699.76,85.553,-67.727,ATL03_20200627123648_00330804_003_01.h5,67,74,70
61,20200627,45:26.0,35,1,78507925.9,78507926.06,78507925.98,80.182,-100.2,ATL03_20200627154523_00350804_003_01.h5,53,67,140
62,20200627,45:34.3,35,3,78507934.24,78507934.4,78507934.32,80.714,-100.562,ATL03_20200627154523_00350804_003_01.h5,54,65,110
63,20200628,11:58.6,48,3,78581518.54,78581518.71,78581518.62,83.068,-52.071,ATL03_20200628121109_00480804_003_01,53,65,120
